timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1679412093660,168,Setup - Check API Host,200,,SetUp 1-1,text,true,,336,115,1,1,http://13.229.198.3/,168,0,85
1679412093831,2359,Setup - Check Table - ORG_INFO,200,OK,SetUp 1-1,text,true,,8,0,1,1,null,2359,0,2287
1679412096202,75,Setup - Check Table - WCP_JOB_TYPE,200,OK,SetUp 1-1,text,true,,8,0,1,1,null,75,0,0
1679412096277,74,Setup - Check Table - WCP_JOB_POSTS,200,OK,SetUp 1-1,text,true,,8,0,1,1,null,74,0,0
1679412096352,77,Setup - Check Table - WCP_CANDIDATE,200,OK,SetUp 1-1,text,true,,8,0,1,1,null,77,0,0
1679412096430,77,Setup - Check Table - WCP_CANDIDATE_HISTORY,200,OK,SetUp 1-1,text,true,,8,0,1,1,null,77,0,0
1679412096508,670,Setup - Insert Table - ORG_INFO,200,OK,SetUp 1-1,text,true,,30,0,1,1,null,0,0,0
1679412097178,771,Setup - Insert Table - WCP_JOB_TYPE,200,OK,SetUp 1-1,text,true,,30,0,1,1,null,0,0,0
1679412097949,2212,Setup - Insert Table - WCP_JOB_POSTS,200,OK,SetUp 1-1,text,true,,298,0,1,1,null,0,0,0
1679412100220,413,AWCP011 - 200 - Check Default,200,,jobs/{id}/upload-cv 1-1,text,true,,461,586,1,1,http://13.229.198.3/jobs/1/upload-cv,413,0,82
1679412101328,95,AWCP011 - 200 - Check jobId not found,200,,jobs/{id}/upload-cv 1-1,text,true,,357,600,1,1,http://13.229.198.3/jobs/389443285905748/upload-cv,95,0,0
1679412101423,85,AWCP011 - 400 - Check valid -  jobId format long,400,,jobs/{id}/upload-cv 1-1,text,true,,359,593,1,1,http://13.229.198.3/jobs/f923fk02/upload-cv,84,0,0
1679412101508,162,AWCP011 - 400 - Check valid -  jobId min 1,400,,jobs/{id}/upload-cv 1-1,text,true,,394,586,1,1,http://13.229.198.3/jobs/0/upload-cv,162,0,77
1679412101671,134,"AWCP011 - 400 - Check valid -  jobId max 9,223,372,036,854,775,807",400,,jobs/{id}/upload-cv 1-1,text,true,,359,604,1,1,http://13.229.198.3/jobs/9223372036854775808/upload-cv,134,0,68
1679412101806,179,AWCP011 - 400 - Check valid -  body not found,400,,jobs/{id}/upload-cv 1-1,text,true,,311,341,1,1,http://13.229.198.3/jobs/1/upload-cv,179,0,87
1679412101985,135,AWCP011 - 400 - Check valid -  body - fullName required,400,,jobs/{id}/upload-cv 1-1,text,true,,350,570,1,1,http://13.229.198.3/jobs/1/upload-cv,135,0,61
1679412102120,126,AWCP011 - 400 - Check valid -  body - fullName max length 50,400,,jobs/{id}/upload-cv 1-1,text,true,,375,654,1,1,http://13.229.198.3/jobs/1/upload-cv,126,0,60
1679412102247,129,AWCP011 - 400 - Check valid -  body - phoneNumber required,400,,jobs/{id}/upload-cv 1-1,text,true,,353,576,1,1,http://13.229.198.3/jobs/1/upload-cv,129,0,64
1679412102377,152,AWCP011 - 400 - Check valid -  body - phoneNumber format,400,,jobs/{id}/upload-cv 1-1,text,true,,382,586,1,1,http://13.229.198.3/jobs/1/upload-cv,151,0,70
1679412102529,143,AWCP011 - 400 - Check valid -  body - message max length 500,400,,jobs/{id}/upload-cv 1-1,text,true,,375,1583,1,1,http://13.229.198.3/jobs/1/upload-cv,143,0,68
1679412102672,130,AWCP011 - 400 - Check valid -  cdnOwnerId required,400,,jobs/{id}/upload-cv 1-1,text,true,,352,550,1,1,http://13.229.198.3/jobs/1/upload-cv,130,0,54
1679412102803,149,AWCP011 - 400 - Check valid -  cdnOwnerId max length 36,400,,jobs/{id}/upload-cv 1-1,text,true,,377,587,1,1,http://13.229.198.3/jobs/1/upload-cv,149,0,70
1679412102952,155,AWCP011 - 400 - Check valid -  cdnFileId required,400,,jobs/{id}/upload-cv 1-1,text,true,,351,550,1,1,http://13.229.198.3/jobs/1/upload-cv,155,0,74
1679412103107,159,AWCP011 - 400 - Check valid -  cdnFileId max length 36,400,,jobs/{id}/upload-cv 1-1,text,true,,376,587,1,1,http://13.229.198.3/jobs/1/upload-cv,159,0,75
1679412103266,142,AWCP011 - 400 - Check valid -  fileName max length 255,400,,jobs/{id}/upload-cv 1-1,text,true,,376,884,1,1,http://13.229.198.3/jobs/1/upload-cv,141,0,68
1679412103408,134,AWCP0011 - 401 - Check Headers - sso-api-key empty,401,,jobs/{id}/upload-cv 1-1,text,true,,357,246,1,1,http://13.229.198.3/jobs/1/upload-cv,134,0,64
1679412103543,70,AWCP0011 - 401 - Check Headers - sso-api-key incorrect,401,,jobs/{id}/upload-cv 1-1,text,true,,359,285,1,1,http://13.229.198.3/jobs/1/upload-cv,70,0,0
1679412103614,76,AWCP0011 - 401 - Check  Headers - org-id empty,401,,jobs/{id}/upload-cv 1-1,text,true,,352,295,1,1,http://13.229.198.3/jobs/1/upload-cv,76,0,0
1679412103691,64,AWCP0011 - 401 - Check Headers - sso-client empty,401,,jobs/{id}/upload-cv 1-1,text,true,,356,324,1,1,http://13.229.198.3/jobs/1/upload-cv,64,0,0
1679412103758,76,TearDown - Delete Table  WCP_CANDIDATE_HISTORY,200,OK,TearDown 1-1,text,true,,9,0,1,1,null,76,0,0
1679412103835,75,TearDown - Delete Table  WCP_CANDIDATE,200,OK,TearDown 1-1,text,true,,9,0,1,1,null,75,0,0
1679412103910,74,TearDown - Delete Table  WCP_JOB_POSTS,200,OK,TearDown 1-1,text,true,,10,0,1,1,null,74,0,0
1679412103984,74,TearDown - Delete Table  WCP_JOB_TYPE,200,OK,TearDown 1-1,text,true,,9,0,1,1,null,74,0,0
1679412104058,74,TearDown - Delete Table  ORG_INFO,200,OK,TearDown 1-1,text,true,,9,0,1,1,null,74,0,0
1679412104132,72,TearDown - Check Table - WCP_CANDIDATE_HISTORY,200,OK,TearDown 1-1,text,true,,8,0,1,1,null,72,0,0
1679412104205,72,TearDown - Check Table - WCP_CANDIDATE,200,OK,TearDown 1-1,text,true,,8,0,1,1,null,72,0,0
1679412104278,76,TearDown - Check Table - WCP_JOB_POSTS,200,OK,TearDown 1-1,text,true,,8,0,1,1,null,76,0,0
1679412104355,72,TearDown - Check Table - WCP_JOB_TYPE,200,OK,TearDown 1-1,text,true,,8,0,1,1,null,72,0,0
1679412104428,72,TearDown - Check Table - ORG_INFO,200,OK,TearDown 1-1,text,true,,8,0,1,1,null,72,0,0
